,OBJECTID,Tree ID,Tree Type,Genus,Species,Common Name,Canopy Spread,Height,Latitude,Longitude
0,1,10146,DECIDUOUS,Quercus,bicolor,Swamp White Oak,19.0,21.0,40.00910444,-105.2725292
1,2,10150,DECIDUOUS,Gymnocladus,dioicus,Kentucky Coffeetree,31.0,47.0,40.00913593,-105.2727975
2,3,10041,DECIDUOUS,Quercus,rubra,Northern Red Oak,65.0,102.0,40.00888767,-105.2748857
3,4,10042,DECIDUOUS,Quercus,rubra,Northern Red Oak,42.0,54.0,40.00877507,-105.2749996
4,5,10051,DECIDUOUS,Crataegus,Unknown,Hawthorne,18.0,20.0,40.00887024,-105.2754284
5,6,10052,DECIDUOUS,Gleditsia,triacanthos,Honey Locust,34.0,68.0,40.0088399,-105.2753071
6,7,10055,DECIDUOUS,Sorbus,Unknown,Mountain-ash,7.0,17.0,40.00894038,-105.2752206
7,8,10118,DECIDUOUS,Quercus,palustris,Pin Oak,25.0,27.0,40.00895672,-105.2713972
8,9,10456,CONIFEROUS,Pseudotsuga,menziesii,Douglas Fir,10.0,28.0,40.01003153,-105.275527
9,10,10285,DECIDUOUS,Acer,saccharinum,Silver Maple,18.0,25.0,40.00961808,-105.2750125
10,11,10319,CONIFEROUS,Pseudotsuga,menziesii,Douglas Fir,24.0,62.0,40.00959138,-105.2744772
11,12,10328,DECIDUOUS,Quercus,rubra,Northern Red Oak,40.0,56.0,40.00969183,-105.275427
12,13,10329,DECIDUOUS,Tilia,americana,American Linden,35.0,40.0,40.00979183,-105.275269
13,14,10345,DECIDUOUS,Gleditsia,triacanthos,Honey Locust,40.0,45.0,40.01035936,-105.2753222
14,15,10348,DECIDUOUS,Prunus,Unknown,Flowering fruit trees,16.0,30.0,40.0103547,-105.2750968
15,16,10458,CONIFEROUS,Pseudotsuga,menziesii,Douglas Fir,10.0,20.0,40.01004684,-105.2755822
16,17,10464,CONIFEROUS,Pseudotsuga,menziesii,Douglas Fir,25.0,40.0,40.00950967,-105.2757369
17,18,10467,CONIFEROUS,Pinus,nigra,Austrian Pine,16.0,29.0,40.01032476,-105.2760597
18,19,10468,CONIFEROUS,Pinus,mugo,Mugo Pine,7.0,5.0,40.0102291,-105.2760614
19,20,10472,CONIFEROUS,Pinus,ponderosa,Ponderosa Pine,16.0,30.0,40.0103109,-105.2759547
20,21,10479,CONIFEROUS,Pinus,ponderosa,Ponderosa Pine,15.0,60.0,40.01030592,-105.2757596
21,22,10480,CONIFEROUS,Pinus,ponderosa,Ponderosa Pine,15.0,50.0,40.01032389,-105.275713
22,23,10750,DECIDUOUS,Fraxinus,americana,White Ash,15.0,30.0,40.009399,-105.2742956
23,24,10762,DECIDUOUS,Fraxinus,pennsylvanica,Green Ash,20.0,30.0,40.00977326,-105.2762282
24,25,10763,DECIDUOUS,Fraxinus,pennsylvanica,Green Ash,20.0,30.0,40.00966799,-105.2761499
25,26,10771,DECIDUOUS,Fraxinus,pennsylvanica,Green Ash,30.0,35.0,40.00835502,-105.2739823
26,27,10776,DECIDUOUS,Fraxinus,americana,White Ash,15.0,30.0,40.01017593,-105.2742952
27,28,10777,DECIDUOUS,Fraxinus,americana,White Ash,15.0,30.0,40.0101509,-105.2742503
28,29,10787,DECIDUOUS,Fraxinus,americana,White Ash,12.0,35.0,40.01003371,-105.2740349
29,30,10796,DECIDUOUS,Fraxinus,americana,White Ash,15.0,40.0,40.00999893,-105.2738593
30,31,10799,DECIDUOUS,Fraxinus,americana,White Ash,15.0,35.0,40.0100355,-105.2737477
31,32,10802,DECIDUOUS,Fraxinus,americana,White Ash,15.0,35.0,40.01002627,-105.2735994
32,33,11185,DECIDUOUS,Ulmus,americana,American Elm,30.0,85.0,40.00775512,-105.2723714
33,34,11679,CONIFEROUS,Picea,pungens,Blue Spruce,16.0,55.0,40.00915054,-105.2737074
34,35,14154,DECIDUOUS,Syringa,reticulata,Japanese tree lilac,6.0,6.0,40.00986233,-105.2760194
35,36,14155,DECIDUOUS,Cercis,canadensis,Redbud,6.0,6.0,40.00984074,-105.2755459
36,37,12342,CONIFEROUS,Pseudotsuga,menziesii,Douglas Fir,20.0,65.0,40.01030714,-105.2725214
37,38,12415,CONIFEROUS,Juniperus,Unknown,Juniper,16.0,44.0,40.00963388,-105.2725169
38,39,12421,CONIFEROUS,Picea,pungens,Blue Spruce,16.0,50.0,40.00973208,-105.2733052
39,40,12424,CONIFEROUS,Pinus,ponderosa,Ponderosa Pine,32.0,60.0,40.00986978,-105.2722732
40,41,12425,CONIFEROUS,Pinus,ponderosa,Ponderosa Pine,25.0,50.0,40.00992271,-105.2722884
41,42,12467,DECIDUOUS,Quercus,rubra,Northern Red Oak,30.0,65.0,40.00891451,-105.2731733
42,43,12472,DECIDUOUS,Acer,platanoides,Norway Maple,40.0,28.0,40.00845442,-105.2729688
43,44,12474,DECIDUOUS,Quercus,bicolor,Weeping Swamp White Oak,25.0,30.0,40.00833308,-105.2735826
44,45,12475,DECIDUOUS,Tilia,americana,American Linden,20.0,30.0,40.00820831,-105.2731262
45,46,12479,DECIDUOUS,Ulmus,americana,American Elm,60.0,76.0,40.00796755,-105.2728904
46,47,12485,DECIDUOUS,Quercus,macrocarpa,Bur Oak,15.0,20.0,40.00807546,-105.2730072
47,48,12493,DECIDUOUS,Quercus,robur,English Oak,10.0,24.0,40.00787329,-105.2733476
48,49,12538,CONIFEROUS,Picea,pungens,Blue Spruce,20.0,65.0,40.00847666,-105.2738914
49,50,12545,CONIFEROUS,Picea,pungens,Blue Spruce,24.0,60.0,40.00812933,-105.2730364
50,51,12614,CONIFEROUS,Juniperus,Unknown,Juniper,15.0,35.0,40.00828824,-105.2740574
51,52,12390,DECIDUOUS,Celtis,occidentalis,Common Hackberry,20.0,45.0,40.010254,-105.2722569
52,53,12391,DECIDUOUS,Celtis,occidentalis,Common Hackberry,40.0,60.0,40.01027594,-105.2722126
53,54,12393,DECIDUOUS,Ulmus,americana,American Elm,30.0,40.0,40.01031071,-105.272616
54,55,12898,CONIFEROUS,Juniperus,Unknown,Juniper,16.0,35.0,40.00909082,-105.2734609
55,56,12901,CONIFEROUS,Juniperus,Unknown,Juniper,10.0,30.0,40.00929782,-105.2734919
56,57,12923,DECIDUOUS,Ulmus,americana,American Elm,20.0,16.0,40.00994091,-105.2738825
57,58,12679,DECIDUOUS,Fagus,Unknown,Beech,20.0,25.0,40.0081048,-105.2746434
58,59,12681,DECIDUOUS,Koelreuteria,Unknown,Golden Rain Tree,15.0,30.0,40.00818427,-105.2747024
59,60,12752,DECIDUOUS,Acer,rubrum,Red Maple,20.0,30.0,40.0092726,-105.2708834
60,61,12789,DECIDUOUS,Quercus,robur,English Oak,30.0,35.0,40.00928718,-105.2713947
61,62,12805,DECIDUOUS,Catalpa,speciosa,Western Catalpa,35.0,61.0,40.00923169,-105.2739572
62,63,12824,CONIFEROUS,Pinus,ponderosa,Ponderosa Pine,25.0,54.0,40.00829875,-105.2713461
63,64,12942,DECIDUOUS,Prunus,Unknown,Flowering fruit trees,8.0,20.0,40.01004792,-105.2748237
64,65,12942,DECIDUOUS,Prunus,Unknown,Flowering fruit trees,8.0,20.0,40.01005207,-105.2748282
65,66,12953,DECIDUOUS,Rhamnus,Unknown,Buckthorn,8.0,12.0,40.00989656,-105.2748945
66,67,12962,CONIFEROUS,Picea,pungens,Blue Spruce,16.0,40.0,40.00709296,-105.2728093
67,68,12966,CONIFEROUS,Abies,concolor,White Fir,6.0,10.0,40.00968067,-105.2739713
